Datum,Relativt arbetslöshetstal,Ungdomsarbetslöshetstal (under 25 år),Arbetslöshetstal 55 år o äldre,"Långtidsarbetslöshetstal, 6 mån +",Långtidsarbetslöshetstal under 25 år,Långtidsarbetslöshetstal 55 år o äldre,Lediga platser / arbetslösa,val,Antal,Primärnäringar_omsättning,Livsmedelsindustri_omsättning,Övrig industri_omsättning,"Vatten, gas, el, värme och avloppshantering_omsättning",Byggverksamhet_omsättning,Handel_omsättning,Transport_omsättning,Hotell och restaurang_omsättning,Finans och försäkring_omsättning,Företagstjänster_omsättning,Personliga tjänster_omsättning,Totalsumma_omsättning,Primärnäringar_lön,Livsmedelsindustri_lön,Övrig industri_lön,"Vatten, gas, el, värme och avloppshantering_lön",Byggverksamhet_lön,Handel_lön,Transport_lön,Hotell och restaurang_lön,Finans och försäkring_lön,Företagstjänster_lön,Personliga tjänster_lön,Totalsumma_lön
2008-07-01,1.9,3.5,2.0,0.4,0.2,1.0,57.4,0.0,331278,1.5,7.5,8.1,4.0,7.8,45.3,81.7,8.3,1.8,8.2,2.6,176.7,1.5,7.5,8.1,4.0,7.8,45.3,81.7,8.3,1.8,8.2,2.6,176.7
2008-08-01,2.0,4.2,2.0,0.3,0.2,0.9,56.8,0.0,229162,1.0,7.0,9.0,4.7,9.4,42.8,65.9,5.4,1.5,9.7,2.8,159.4,1.0,7.0,9.0,4.7,9.4,42.8,65.9,5.4,1.5,9.7,2.8,159.4
2008-09-01,2.1,5.6,2.0,0.4,0.3,0.9,48.3,0.0,169254,3.0,7.6,12.0,5.4,11.3,43.1,56.8,3.5,1.7,9.2,2.3,156.0,3.0,7.6,12.0,5.4,11.3,43.1,56.8,3.5,1.7,9.2,2.3,156.0
2008-10-01,2.1,5.9,2.2,0.4,0.2,0.9,54.6,0.0,189726,2.8,7.6,11.8,5.7,13.6,44.2,66.5,2.6,1.9,9.9,2.5,169.1,2.8,7.6,11.8,5.7,13.6,44.2,66.5,2.6,1.9,9.9,2.5,169.1
2008-11-01,2.1,4.7,2.2,0.4,0.3,0.8,61.5,0.0,162026,2.9,7.0,10.7,5.7,11.0,42.2,83.1,3.1,1.6,13.6,2.2,182.9,2.9,7.0,10.7,5.7,11.0,42.2,83.1,3.1,1.6,13.6,2.2,182.9
2008-12-01,2.1,4.5,2.2,0.4,0.1,0.8,70.9,0.0,155664,4.1,9.0,10.9,8.5,17.0,49.5,52.7,2.8,2.8,13.9,2.9,174.1,4.1,9.0,10.9,8.5,17.0,49.5,52.7,2.8,2.8,13.9,2.9,174.1
2009-01-01,2.5,5.5,2.2,0.4,0.2,0.6,93.8,0.0,120954,2.7,5.7,8.7,5.8,6.3,31.0,49.7,1.6,5.2,8.0,1.5,126.2,2.7,5.7,8.7,5.8,6.3,31.0,49.7,1.6,5.2,8.0,1.5,126.2
2009-02-01,2.6,6.6,2.2,0.4,0.2,0.7,100.6,0.0,143589,2.2,6.6,8.7,7.3,9.8,30.3,49.5,1.8,2.3,7.2,2.1,127.9,2.2,6.6,8.7,7.3,9.8,30.3,49.5,1.8,2.3,7.2,2.1,127.9
2009-03-01,2.4,6.1,2.4,0.5,0.2,0.9,78.0,0.0,152905,1.4,7.4,9.5,6.5,10.1,35.3,56.0,2.1,1.9,8.3,3.4,141.9,1.4,7.4,9.5,6.5,10.1,35.3,56.0,2.1,1.9,8.3,3.4,141.9
2009-04-01,2.3,4.8,2.2,0.5,0.4,0.8,81.0,0.0,184702,1.0,8.9,10.4,5.2,10.2,39.0,56.2,2.6,2.9,9.0,2.6,147.8,1.0,8.9,10.4,5.2,10.2,39.0,56.2,2.6,2.9,9.0,2.6,147.8
2009-05-01,2.3,4.5,2.0,0.5,0.4,0.9,58.2,0.0,220749,1.4,6.3,9.9,3.6,9.8,38.4,64.1,3.7,2.4,8.2,2.7,150.5,1.4,6.3,9.9,3.6,9.8,38.4,64.1,3.7,2.4,8.2,2.7,150.5
2009-06-01,2.5,5.1,2.2,0.5,0.6,0.9,41.3,0.0,207283,1.2,7.8,10.8,5.3,13.3,39.3,51.7,5.5,2.9,11.2,2.6,151.7,1.2,7.8,10.8,5.3,13.3,39.3,51.7,5.5,2.9,11.2,2.6,151.7
2009-07-01,2.7,5.4,2.3,0.5,0.7,0.9,40.9,0.0,329028,1.1,7.4,8.5,3.3,8.2,42.2,67.2,9.3,1.8,7.9,3.6,160.6,1.1,7.4,8.5,3.3,8.2,42.2,67.2,9.3,1.8,7.9,3.6,160.6
2009-08-01,2.9,6.0,2.4,0.5,0.4,0.9,34.5,0.0,244988,1.0,6.8,8.9,3.7,9.5,39.4,57.0,6.0,1.8,8.2,2.5,144.8,1.0,6.8,8.9,3.7,9.5,39.4,57.0,6.0,1.8,8.2,2.5,144.8
2009-09-01,2.9,6.9,2.5,0.5,0.3,0.9,26.5,0.0,175504,1.7,6.8,11.1,4.6,11.3,39.7,48.4,3.5,2.1,8.6,2.6,140.2,1.7,6.8,11.1,4.6,11.3,39.7,48.4,3.5,2.1,8.6,2.6,140.2
2009-10-01,3.3,8.9,2.8,0.5,0.4,0.9,20.5,0.0,188082,3.5,8.3,11.9,5.0,11.4,41.5,55.2,2.6,2.3,9.6,3.5,154.7,3.5,8.3,11.9,5.0,11.4,41.5,55.2,2.6,2.3,9.6,3.5,154.7
2009-11-01,3.4,9.6,2.9,0.5,0.2,0.8,14.6,0.0,160228,3.2,7.1,9.7,5.3,11.5,41.1,51.7,2.0,2.1,8.9,2.8,145.5,3.2,7.1,9.7,5.3,11.5,41.1,51.7,2.0,2.1,8.9,2.8,145.5
2009-12-01,3.3,8.9,3.0,0.6,0.4,1.0,29.1,0.0,157005,4.4,9.0,10.0,9.0,14.0,52.1,49.1,2.7,2.7,12.2,3.2,168.4,4.4,9.0,10.0,9.0,14.0,52.1,49.1,2.7,2.7,12.2,3.2,168.4
2010-01-01,3.4,10.4,2.9,0.7,0.5,1.0,46.7,0.0,95299,2.1,5.4,7.0,7.9,7.4,32.1,46.0,1.4,5.8,7.1,2.4,124.5,2.1,5.4,7.0,7.9,7.4,32.1,46.0,1.4,5.8,7.1,2.4,124.5
2010-02-01,3.5,9.4,3.0,0.8,0.7,1.0,55.7,0.0,127277,1.9,6.5,8.4,8.9,8.5,34.7,47.7,1.7,1.7,8.7,2.9,131.4,1.9,6.5,8.4,8.9,8.5,34.7,47.7,1.7,1.7,8.7,2.9,131.4
2010-03-01,3.3,7.5,2.9,0.8,0.5,1.1,50.8,0.0,138111,1.1,8.2,9.4,7.6,9.2,43.1,56.0,2.1,2.0,11.3,2.8,152.8,1.1,8.2,9.4,7.6,9.2,43.1,56.0,2.1,2.0,11.3,2.8,152.8
2010-04-01,3.3,6.7,2.9,0.8,0.5,1.2,47.9,0.0,169664,1.3,9.1,8.9,5.2,10.0,40.2,59.9,2.5,1.9,8.7,3.2,150.9,1.3,9.1,8.9,5.2,10.0,40.2,59.9,2.5,1.9,8.7,3.2,150.9
2010-05-01,2.9,6.0,2.8,0.8,0.5,1.3,35.3,0.0,213273,1.3,6.7,10.6,3.7,10.6,44.8,72.8,3.8,2.5,9.8,4.1,170.8,1.3,6.7,10.6,3.7,10.6,44.8,72.8,3.8,2.5,9.8,4.1,170.8
2010-06-01,3.1,7.4,3.0,0.8,0.6,1.3,30.6,0.0,192631,1.7,9.2,12.3,5.0,15.1,49.0,72.5,5.1,2.3,11.6,3.5,187.3,1.7,9.2,12.3,5.0,15.1,49.0,72.5,5.1,2.3,11.6,3.5,187.3
2010-07-01,3.1,7.0,3.0,0.8,0.6,1.4,31.7,0.0,325617,1.2,7.4,7.8,3.4,5.5,43.6,85.6,9.4,1.7,7.6,3.2,176.4,1.2,7.4,7.8,3.4,5.5,43.6,85.6,9.4,1.7,7.6,3.2,176.4
2010-08-01,3.0,6.8,2.8,0.7,0.4,1.4,40.0,0.0,246778,0.9,7.1,9.1,3.9,8.7,47.2,66.5,6.8,2.0,8.4,2.4,163.1,0.9,7.1,9.1,3.9,8.7,47.2,66.5,6.8,2.0,8.4,2.4,163.1
2010-09-01,2.8,7.5,2.9,0.6,0.6,1.4,30.4,0.0,170140,1.8,8.7,13.5,4.8,11.4,46.3,61.8,3.6,2.3,8.3,2.6,165.1,1.8,8.7,13.5,4.8,11.4,46.3,61.8,3.6,2.3,8.3,2.6,165.1
2010-10-01,2.9,8.0,2.9,0.6,0.4,1.4,26.2,0.0,176004,2.8,7.8,10.3,5.4,11.5,44.9,63.2,2.8,2.1,9.3,2.4,162.5,2.8,7.8,10.3,5.4,11.5,44.9,63.2,2.8,2.1,9.3,2.4,162.5
2010-11-01,2.9,7.3,3.0,0.6,0.3,1.5,26.0,0.0,168865,5.0,8.5,11.3,5.9,13.1,47.0,66.0,2.3,2.6,9.0,2.1,172.7,5.0,8.5,11.3,5.9,13.1,47.0,66.0,2.3,2.6,9.0,2.1,172.7
2010-12-01,3.2,8.0,3.2,0.7,0.5,1.5,21.8,0.0,149826,5.4,9.4,9.7,11.8,14.7,61.2,58.1,2.4,3.0,12.5,2.6,190.7,5.4,9.4,9.7,11.8,14.7,61.2,58.1,2.4,3.0,12.5,2.6,190.7
2011-01-01,3.2,7.1,2.7,0.7,0.5,1.4,54.9,0.0,97578,1.8,5.8,7.7,8.2,6.4,38.2,52.8,1.8,7.2,7.9,2.0,139.8,1.8,5.8,7.7,8.2,6.4,38.2,52.8,1.8,7.2,7.9,2.0,139.8
2011-02-01,3.1,5.9,2.9,0.7,0.7,1.3,78.8,0.0,127844,1.9,7.3,9.2,8.8,8.6,36.7,52.3,1.7,1.7,9.0,2.0,139.3,1.9,7.3,9.2,8.8,8.6,36.7,52.3,1.7,1.7,9.0,2.0,139.3
2011-03-01,2.9,5.3,2.7,0.8,0.8,1.3,78.0,0.0,141661,1.4,8.5,13.2,8.0,11.1,45.6,58.7,2.2,2.1,9.0,2.5,162.5,1.4,8.5,13.2,8.0,11.1,45.6,58.7,2.2,2.1,9.0,2.5,162.5
2011-04-01,2.5,4.9,2.4,0.7,0.6,1.3,80.9,0.0,175916,1.4,9.9,9.6,5.7,10.9,45.2,63.5,2.7,2.2,10.0,2.4,163.4,1.4,9.9,9.6,5.7,10.9,45.2,63.5,2.7,2.2,10.0,2.4,163.4
2011-05-01,2.5,4.6,2.2,0.7,0.5,1.1,78.2,0.0,195032,1.4,7.8,12.3,4.6,12.5,50.4,74.3,4.3,1.9,9.8,2.9,182.1,1.4,7.8,12.3,4.6,12.5,50.4,74.3,4.3,1.9,9.8,2.9,182.1
2011-06-01,2.6,5.3,2.1,0.6,0.4,1.0,54.1,0.0,236941,1.8,9.4,14.0,5.4,13.4,51.7,76.5,5.7,2.4,11.2,3.1,194.6,1.8,9.4,14.0,5.4,13.4,51.7,76.5,5.7,2.4,11.2,3.1,194.6
2011-07-01,2.7,5.7,2.4,0.6,0.3,1.0,38.8,0.0,323360,1.3,7.9,8.1,3.4,9.4,49.2,87.8,10.1,2.0,7.6,3.0,189.9,1.3,7.9,8.1,3.4,9.4,49.2,87.8,10.1,2.0,7.6,3.0,189.9
2011-08-01,2.8,7.1,2.4,0.5,0.3,0.9,40.9,0.0,231396,1.1,8.5,8.6,4.4,12.0,50.0,70.2,7.1,1.9,9.6,2.6,175.9,1.1,8.5,8.6,4.4,12.0,50.0,70.2,7.1,1.9,9.6,2.6,175.9
2011-09-01,2.7,6.3,2.1,0.4,0.0,0.8,38.1,0.0,170249,1.4,9.0,10.9,4.6,14.3,47.4,59.7,4.2,2.3,8.5,2.7,165.1,1.4,9.0,10.9,4.6,14.3,47.4,59.7,4.2,2.3,8.5,2.7,165.1
2011-10-01,2.8,6.8,2.3,0.4,0.0,0.9,32.1,0.0,173385,1.8,8.7,9.8,5.0,14.9,50.2,65.2,3.1,2.3,9.9,2.6,173.5,1.8,8.7,9.8,5.0,14.9,50.2,65.2,3.1,2.3,9.9,2.6,173.5
2011-11-01,2.8,7.0,2.3,0.4,0.1,0.9,37.2,0.0,167602,4.3,8.4,10.6,5.2,16.8,53.3,64.7,2.7,0.9,8.0,2.2,177.0,4.3,8.4,10.6,5.2,16.8,53.3,64.7,2.7,0.9,8.0,2.2,177.0
2011-12-01,2.9,6.7,2.5,0.5,0.2,0.9,40.3,0.0,151417,5.8,10.3,10.4,8.6,18.2,62.7,57.4,2.9,3.3,13.5,3.2,196.2,5.8,10.3,10.4,8.6,18.2,62.7,57.4,2.9,3.3,13.5,3.2,196.2
2012-01-01,3.4,9.3,2.6,0.5,0.4,0.9,57.0,0.0,88017,2.4,6.9,9.8,6.6,11.5,41.5,50.9,1.9,6.0,7.0,1.9,146.2,2.4,6.9,9.8,6.6,11.5,41.5,50.9,1.9,6.0,7.0,1.9,146.2
2012-02-01,3.4,9.6,2.6,0.6,0.4,1.1,80.5,0.0,132683,1.3,8.0,9.7,7.9,12.8,44.5,55.3,1.8,1.9,8.5,2.1,153.8,1.3,8.0,9.7,7.9,12.8,44.5,55.3,1.8,1.9,8.5,2.1,153.8
2012-03-01,3.0,6.9,2.5,0.8,0.4,1.3,76.5,0.0,142571,1.3,8.7,10.0,7.2,15.1,49.5,61.4,2.3,2.5,7.9,2.5,168.3,1.3,8.7,10.0,7.2,15.1,49.5,61.4,2.3,2.5,7.9,2.5,168.3
2012-04-01,2.7,5.8,2.1,0.8,0.5,1.2,74.0,0.0,165866,1.3,10.3,10.9,5.5,14.3,46.0,59.9,2.8,2.4,8.8,2.3,164.5,1.3,10.3,10.9,5.5,14.3,46.0,59.9,2.8,2.4,8.8,2.3,164.5
2012-05-01,2.7,5.2,2.1,0.7,0.3,1.1,52.3,0.0,197000,1.5,8.7,13.4,4.2,16.8,55.2,72.7,4.4,2.2,8.6,2.6,190.4,1.5,8.7,13.4,4.2,16.8,55.2,72.7,4.4,2.2,8.6,2.6,190.4
2012-06-01,2.7,5.9,2.1,0.7,0.2,1.1,44.7,0.0,219137,2.1,10.1,13.7,5.4,18.0,51.1,74.4,6.1,2.5,10.5,3.1,197.0,2.1,10.1,13.7,5.4,18.0,51.1,74.4,6.1,2.5,10.5,3.1,197.0
2012-07-01,2.9,5.6,2.3,0.7,0.3,1.1,28.8,0.0,318751,1.4,8.8,7.1,3.6,11.0,53.5,87.6,10.3,2.3,8.5,3.3,197.2,1.4,8.8,7.1,3.6,11.0,53.5,87.6,10.3,2.3,8.5,3.3,197.2
2012-08-01,3.1,6.6,2.3,0.7,0.3,1.1,28.6,0.0,229059,1.2,8.9,11.1,4.2,14.4,54.5,68.2,6.5,2.3,9.7,2.8,183.9,1.2,8.9,11.1,4.2,14.4,54.5,68.2,6.5,2.3,9.7,2.8,183.9
2012-09-01,3.2,7.2,2.6,0.7,0.2,1.0,23.4,0.0,172534,1.9,8.7,10.8,5.2,15.2,47.4,63.8,4.1,2.2,8.9,2.8,171.0,1.9,8.7,10.8,5.2,15.2,47.4,63.8,4.1,2.2,8.9,2.8,171.0
2012-10-01,3.3,7.7,2.9,0.6,0.2,1.0,32.0,0.0,173484,3.3,9.4,14.1,5.6,17.9,53.1,66.5,2.8,2.3,9.6,2.7,187.5,3.3,9.4,14.1,5.6,17.9,53.1,66.5,2.8,2.3,9.6,2.7,187.5
2012-11-01,3.4,7.9,3.0,0.7,0.3,1.1,22.1,0.0,164124,4.1,9.3,11.6,5.8,14.6,52.9,66.2,2.6,3.0,9.1,2.6,181.8,4.1,9.3,11.6,5.8,14.6,52.9,66.2,2.6,3.0,9.1,2.6,181.8
2012-12-01,3.6,6.6,3.2,0.8,0.4,1.1,44.5,0.0,148077,5.3,10.9,13.3,9.5,17.9,61.0,56.9,2.8,11.5,13.5,4.0,206.7,5.3,10.9,13.3,9.5,17.9,61.0,56.9,2.8,11.5,13.5,4.0,206.7
2013-01-01,4.1,10.9,3.1,0.8,0.5,1.3,80.3,0.0,87177,2.3,7.2,10.4,7.5,8.3,42.6,58.4,1.9,4.0,7.8,2.1,152.5,2.3,7.2,10.4,7.5,8.3,42.6,58.4,1.9,4.0,7.8,2.1,152.5
2013-02-01,4.1,10.6,3.2,0.8,0.6,1.3,88.4,0.0,131370,1.6,7.2,11.2,6.7,10.0,39.7,59.8,2.1,2.1,9.2,2.2,151.8,1.6,7.2,11.2,6.7,10.0,39.7,59.8,2.1,2.1,9.2,2.2,151.8
2013-03-01,3.7,9.3,3.0,0.9,0.6,1.4,71.5,0.0,155272,1.5,9.2,13.6,7.8,14.0,46.5,66.4,2.5,2.3,8.9,2.7,175.4,1.5,9.2,13.6,7.8,14.0,46.5,66.4,2.5,2.3,8.9,2.7,175.4
2013-04-01,3.1,7.1,2.5,1.0,1.1,1.4,70.9,0.0,150866,1.3,11.0,14.5,6.3,13.4,48.1,98.4,2.9,2.3,10.1,2.4,210.7,1.3,11.0,14.5,6.3,13.4,48.1,98.4,2.9,2.3,10.1,2.4,210.7
2013-05-01,2.9,5.3,2.1,0.9,0.9,1.2,49.1,0.0,183947,1.5,8.0,16.1,4.5,13.9,49.7,75.2,4.8,2.3,8.8,3.1,188.0,1.5,8.0,16.1,4.5,13.9,49.7,75.2,4.8,2.3,8.8,3.1,188.0
2013-06-01,3.1,6.3,2.4,0.8,0.8,1.2,34.9,0.0,209752,2.1,9.2,14.2,5.3,16.5,48.8,76.4,6.1,2.5,11.1,2.9,195.1,2.1,9.2,14.2,5.3,16.5,48.8,76.4,6.1,2.5,11.1,2.9,195.1
2013-07-01,3.4,6.5,2.6,0.8,0.7,1.2,35.0,0.0,302220,1.5,8.9,10.8,4.4,10.2,51.5,97.3,10.9,2.2,9.3,3.3,210.0,1.5,8.9,10.8,4.4,10.2,51.5,97.3,10.9,2.2,9.3,3.3,210.0
2013-08-01,3.2,6.6,2.8,0.8,0.5,1.2,30.3,0.0,220363,1.2,8.0,11.9,4.7,12.5,46.1,75.1,6.8,2.0,10.1,2.8,181.1,1.2,8.0,11.9,4.7,12.5,46.1,75.1,6.8,2.0,10.1,2.8,181.1
2013-09-01,3.5,8.6,2.7,0.7,0.3,1.3,23.7,0.0,164150,2.1,8.3,15.5,5.1,11.5,48.5,67.4,4.1,2.2,9.2,2.8,176.7,2.1,8.3,15.5,5.1,11.5,48.5,67.4,4.1,2.2,9.2,2.8,176.7
2013-10-01,3.7,8.2,2.9,0.6,0.1,1.2,17.7,0.0,169657,3.9,8.6,13.9,6.1,14.2,49.7,69.3,3.1,2.3,10.8,2.9,184.7,3.9,8.6,13.9,6.1,14.2,49.7,69.3,3.1,2.3,10.8,2.9,184.7
2013-11-01,3.8,8.6,2.9,0.7,0.2,1.3,20.1,0.0,158889,4.8,9.3,13.1,5.8,13.1,48.2,67.7,2.6,2.0,8.7,2.6,178.0,4.8,9.3,13.1,5.8,13.1,48.2,67.7,2.6,2.0,8.7,2.6,178.0
2013-12-01,4.0,8.6,3.1,0.8,0.5,1.4,24.4,0.0,122735,6.4,11.7,10.5,8.8,17.6,58.3,60.8,3.1,6.1,12.6,3.1,199.0,6.4,11.7,10.5,8.8,17.6,58.3,60.8,3.1,6.1,12.6,3.1,199.0
2014-01-01,3.9,6.8,3.1,0.8,0.3,1.4,56.6,0.0,81888,3.7,9.3,12.5,8.1,7.9,44.0,56.2,1.9,6.2,9.0,2.0,160.7,3.7,9.3,12.5,8.1,7.9,44.0,56.2,1.9,6.2,9.0,2.0,160.7
2014-02-01,4.1,8.2,3.1,1.0,0.6,1.5,63.6,0.0,128977,2.4,10.5,11.5,8.3,9.0,38.3,61.2,1.9,2.1,9.4,2.3,156.9,2.4,10.5,11.5,8.3,9.0,38.3,61.2,1.9,2.1,9.4,2.3,156.9
2014-03-01,4.1,7.7,3.3,1.1,0.9,1.8,58.0,0.0,136010,1.9,11.5,14.7,8.0,11.5,43.1,62.9,2.4,2.4,8.6,2.9,170.0,1.9,11.5,14.7,8.0,11.5,43.1,62.9,2.4,2.4,8.6,2.9,170.0
2014-04-01,4.0,7.2,3.2,1.1,0.7,1.8,57.6,0.0,159272,1.9,14.0,11.9,6.4,10.5,48.3,67.1,2.8,2.4,9.8,2.8,177.8,1.9,14.0,11.9,6.4,10.5,48.3,67.1,2.8,2.4,9.8,2.8,177.8
2014-05-01,3.7,6.0,3.0,1.1,0.5,1.7,39.4,0.0,188759,1.7,10.1,12.7,5.4,11.6,48.2,79.4,4.8,2.6,8.9,3.4,188.8,1.7,10.1,12.7,5.4,11.6,48.2,79.4,4.8,2.6,8.9,3.4,188.8
2014-06-01,4.0,6.8,3.3,1.1,0.5,1.6,24.3,0.0,204906,2.1,12.3,14.8,6.9,13.6,49.0,80.5,5.9,5.3,10.3,3.8,204.4,2.1,12.3,14.8,6.9,13.6,49.0,80.5,5.9,5.3,10.3,3.8,204.4
2014-07-01,4.1,6.3,3.3,1.1,0.8,1.7,26.2,0.0,311279,1.6,12.2,9.8,4.7,10.3,53.3,93.3,11.3,3.9,8.6,3.2,212.3,1.6,12.2,9.8,4.7,10.3,53.3,93.3,11.3,3.9,8.6,3.2,212.3
2014-08-01,3.9,6.9,3.4,1.1,0.7,1.8,23.7,0.0,225634,1.7,11.1,10.7,5.5,12.3,46.6,74.7,6.8,2.2,9.6,2.8,184.0,1.7,11.1,10.7,5.5,12.3,46.6,74.7,6.8,2.2,9.6,2.8,184.0
2014-09-01,3.9,7.4,3.5,1.0,0.5,1.8,20.1,0.0,152871,2.1,12.5,13.5,5.8,15.6,47.5,70.8,4.1,3.7,9.1,3.1,187.9,2.1,12.5,13.5,5.8,15.6,47.5,70.8,4.1,3.7,9.1,3.1,187.9
2014-10-01,4.0,8.2,3.4,1.0,0.6,1.7,20.9,0.0,171053,4.0,18.3,14.5,6.7,16.0,52.2,69.4,2.9,4.8,10.5,2.8,202.2,4.0,18.3,14.5,6.7,16.0,52.2,69.4,2.9,4.8,10.5,2.8,202.2
2014-11-01,4.1,7.9,3.4,1.2,0.8,1.9,15.0,0.0,152386,4.9,13.1,12.5,7.1,15.9,46.2,70.9,2.6,2.7,8.7,3.1,187.6,4.9,13.1,12.5,7.1,15.9,46.2,70.9,2.6,2.7,8.7,3.1,187.6
2014-12-01,4.4,7.6,3.9,1.2,0.9,2.0,18.3,0.0,141436,7.6,14.9,13.0,12.0,20.0,59.9,62.0,2.7,3.0,14.0,3.2,212.3,7.6,14.9,13.0,12.0,20.0,59.9,62.0,2.7,3.0,14.0,3.2,212.3
2015-01-01,4.4,7.2,3.7,1.2,1.0,2.0,49.0,0.0,94355,3.6,9.0,9.6,7.8,8.9,38.1,55.0,1.9,3.7,8.3,2.0,147.9,3.6,9.0,9.6,7.8,8.9,38.1,55.0,1.9,3.7,8.3,2.0,147.9
2015-02-01,4.2,7.7,3.8,1.2,1.2,1.9,67.5,0.0,124678,3.0,10.5,12.7,7.7,10.5,35.3,60.0,1.9,2.5,9.3,2.2,155.6,3.0,10.5,12.7,7.7,10.5,35.3,60.0,1.9,2.5,9.3,2.2,155.6
2015-03-01,3.9,6.3,3.6,1.2,1.0,2.1,60.9,0.0,131966,3.7,12.2,13.7,8.0,13.6,45.0,64.9,2.7,3.1,10.5,2.7,180.1,3.7,12.2,13.7,8.0,13.6,45.0,64.9,2.7,3.1,10.5,2.7,180.1
2015-04-01,3.7,4.5,3.4,1.2,0.9,2.0,47.7,0.0,154535,2.0,12.1,12.8,6.9,12.8,43.9,64.4,3.2,2.2,10.9,2.5,173.9,2.0,12.1,12.8,6.9,12.8,43.9,64.4,3.2,2.2,10.9,2.5,173.9
2015-05-01,3.4,3.3,3.3,1.1,0.3,1.8,43.0,0.0,196683,2.2,9.9,13.8,5.4,14.6,44.1,76.9,5.0,3.9,9.5,3.2,188.4,2.2,9.9,13.8,5.4,14.6,44.1,76.9,5.0,3.9,9.5,3.2,188.4
2015-06-01,3.5,4.4,3.2,1.0,0.3,1.6,43.0,0.0,212446,2.1,12.4,14.8,6.7,18.8,49.5,86.4,7.1,4.9,10.9,3.4,217.2,2.1,12.4,14.8,6.7,18.8,49.5,86.4,7.1,4.9,10.9,3.4,217.2
2015-07-01,3.6,5.0,3.3,1.0,0.3,1.6,42.4,0.0,326502,1.6,11.8,14.7,4.7,11.6,51.7,99.3,12.4,5.2,9.2,3.3,225.5,1.6,11.8,14.7,4.7,11.6,51.7,99.3,12.4,5.2,9.2,3.3,225.5
2015-08-01,3.5,5.6,3.4,1.0,0.4,1.6,31.1,0.0,231751,1.9,11.1,13.1,4.6,15.0,44.2,80.4,8.2,1.9,9.6,2.5,192.3,1.9,11.1,13.1,4.6,15.0,44.2,80.4,8.2,1.9,9.6,2.5,192.3
2015-09-01,3.6,5.4,3.4,1.0,0.3,1.6,27.7,0.0,165018,2.7,11.9,15.5,5.7,18.7,44.3,73.6,4.6,2.6,10.2,3.0,192.8,2.7,11.9,15.5,5.7,18.7,44.3,73.6,4.6,2.6,10.2,3.0,192.8
2015-10-01,3.9,6.3,3.6,0.9,0.1,1.7,29.4,0.0,185200,4.1,18.0,13.9,7.1,18.1,45.3,69.4,3.1,2.6,11.0,2.9,195.4,4.1,18.0,13.9,7.1,18.1,45.3,69.4,3.1,2.6,11.0,2.9,195.4
2015-11-01,3.8,4.9,3.6,1.0,0.1,1.8,34.2,0.0,146271,5.5,13.9,14.6,6.5,17.4,45.9,68.3,3.0,2.2,10.1,2.6,189.8,5.5,13.9,14.6,6.5,17.4,45.9,68.3,3.0,2.2,10.1,2.6,189.8
2015-12-01,4.2,6.2,3.6,1.1,0.1,1.9,36.6,0.0,139540,7.2,15.6,12.0,10.3,20.8,55.2,61.7,3.4,7.3,14.7,2.9,211.1,7.2,15.6,12.0,10.3,20.8,55.2,61.7,3.4,7.3,14.7,2.9,211.1
2016-01-01,4.0,5.8,3.4,1.0,0.3,1.8,72.0,0.0,93189,3.7,9.0,11.4,8.4,9.1,36.9,55.1,2.3,3.8,8.3,2.2,150.2,3.7,9.0,11.4,8.4,9.1,36.9,55.1,2.3,3.8,8.3,2.2,150.2
2016-02-01,4.0,6.0,3.5,1.1,0.7,1.9,70.4,0.0,118405,3.0,10.4,13.7,8.4,11.9,38.3,60.8,2.2,2.2,9.7,2.6,163.2,3.0,10.4,13.7,8.4,11.9,38.3,60.8,2.2,2.2,9.7,2.6,163.2
2016-03-01,3.7,6.0,3.1,1.2,0.7,1.9,53.0,0.0,158194,2.8,11.9,15.5,8.4,14.2,43.6,68.1,3.3,2.7,10.0,3.7,184.3,2.8,11.9,15.5,8.4,14.2,43.6,68.1,3.3,2.7,10.0,3.7,184.3
2016-04-01,3.5,5.0,3.4,1.2,0.5,2.0,59.3,0.0,140633,2.1,12.3,13.4,7.1,12.7,45.1,67.6,3.4,1.9,10.6,2.6,178.8,2.1,12.3,13.4,7.1,12.7,45.1,67.6,3.4,1.9,10.6,2.6,178.8
